[00:00] 朋友们,今年2月份,美国那个最高法院不是判特朗普的关税政策违法了吗?
[01:58] 怎么收税的决定权
[02:00] 在国会手里
[02:01] 你总统没这权利
[02:02] 第二呢
[02:03] 特朗普的那个对等关税
[02:04] 芬太尼关税
[02:05] 他引用的是一部1977年的
[02:07] 紧急状态法
[02:08] IPA
[02:09] 这个法案本来是针对个别对象
[02:11] 去制裁
[02:12] 冻结资产什么的
[02:13] 里边根本没提关税的事
[02:14] 特朗普这就属于
[02:15] 强行隐身发散了
[02:17] 这个判决结果的风向
[02:18] 当一鸣谢
[02:19] 2000多家大大小小的公司
[02:21] 就全都冲出来了
[02:21] 一起向贸易法院上课
[02:23] 那宣布违法怎么办呢
[02:26] 正常流程就是
[02:27] 退钱嘛
[02:28] 咱来看看他要退多少钱
[02:29] 去年美国政府总共收上来的关税
[02:32] 是2640亿美元
[02:34] 这个数字还是非常可观的
[02:36] 比之前几年都翻了三倍多
[02:37] 但这些钱不是全退
[02:39] 你看去年特朗普发动关税战
[02:40] 他找的法律理由大概是这么两个
[02:43] 一个是咱们刚才说的紧急状态法
[02:45] IEPA
[02:45] 那些针对每个国家的对等关税
[02:48] 还有芬太尼关税
[02:49] 用的都是这个理由
[02:50] 而第二个是以国家安全为理由
[02:52] 这些基本上都是针对某个行业的
[02:54] 比如钢铁 铝 汽车这些
[02:56] 而这回法院判没法的
[02:58] 是第一个
[02:58] 第二点他没碰
[02:59] 但第一个确实是
[03:00] 去年美国官司收入的大头
[03:02] 占了60%
[03:03] 大概是1660亿
[03:05] 你是不是经常看美国各种
[03:06] 法案上的拉扯
[03:07] 动不动就三五年起步
[03:09] 这1000多亿真的立马就退吗
[03:11] 立马就退
[03:12] 这个贸易法院就跟海关说
[03:14] 你得退款呀
[03:15] 而且不光是给那些
[03:16] 提交上诉的公司退款
[03:18] 是要给所有交过IEP官税的
[03:20] 你都得退
[03:21] 而且不光是全额退款就行了
[03:22] 你还得加上利息
[03:24] 4.5%到6%
[03:26] 退
[03:26] 这海关一听就急了呀
[03:28] 法官大人
[03:28] 您说的轻巧
[03:29] 真是做不到啊
[03:30] 您看去年有33万家进口商
[03:32] 5000多万的商品
[03:33] 要挨饿算挨饿退
[03:35] 您是在跟我开玩笑吗
[03:36] 这个大法官也非常有大法官的派头
[03:38] 我不听你这些理由
[03:39] 怎么退那是你该处理的问题
[03:41] 总之就是要立刻退款
[03:42] 没办法
[03:45] 海关只能临时组建了一个IT部门
[03:47] 专门做了一套退税系统
[03:49] 叫CAPE
[03:50] 还真的确实大大减化了退税流程
[03:52] 截至7月31号
[03:53] CAPE已经收到了25万份关税退税的申报
[03:56] 大概是1290亿美元的退款
[03:58] 而且还有大量的退款
[03:59] 正在处理当中
[04:00] 你想这可是1000多亿美元
[04:03] 两三个月全发出去
[04:04] 所以你会看到上个季度
[04:05] 很多企业都发了一笔横财
[04:07] 利润多一大截
[04:08] 比如说苹果
[04:10] 上个季度拿到了22亿美元的退税
[04:12] 正好又是库克退休前
[04:13] 最后一次财报电话会
[04:14] 他很开心
[04:15] 管这个季度叫做史上最强六月季
[04:17] 沃尔玛大概拿到了24亿
[04:20] 亚马逊6亿
[04:21] 耐克10亿
[04:22] 通用5亿
[04:22] 索尼5亿
[04:23] 皆打关系
[04:24] 企业这边是乐开了花
[04:28] 但财政部脸可都绿了
[04:30] 今年6月
[04:31] 美国海关收上来的税
[04:33] 是236亿
[04:34] 退回去的是492亿
[04:36] 史上头一回
[04:37] 一个收税的部门
[04:38] 干成了发钱的部门
[04:39] 但是呢
[04:40] 政府还在做最后的挣扎
[04:41] 一边退税
[04:42] 一边怎么样呢
[04:43] 上诉
[04:44] 那之后怎么办呢
[04:47] 这个关税是不是就该没了呢
[04:49] 理论上呢
[04:51] 它确实应该直接取消
[04:52] 就是关税直接回到之前的水平
[04:54] 但这样特朗普肯定不乐意啊
[04:56] 我跟你说
[04:56] 他其实早就想好了预案
[04:57] 他在1974年的贸易法里头
[04:59] 找了一个122条款
[05:01] 就说了国际收支出现根本性问题的时候
[05:04] 总统可以立刻对全球加税
[05:06] 先斩后奏绕过国会
[05:07] 所以当天晚上白宫就动用了这个条款
[05:10] 对全球所有国家加了10%的关税
[05:12] 跟之前那个关税无缝衔接上
[05:15] 好家伙
[05:16] 旧关税刚走新关税就接上了
[05:18] 进口商们当然又不干了呀
[05:20] 所以他们干什么了
[05:21] 就是找律师打官司
[05:23] 于是国际贸易法院又判定
[05:25] 这个新关税也违法
[05:27] 那政府也不干啊
[05:28] 少顾
[05:28] 好 这个官司我们先不说
[05:30] 但你想
[05:31] 这个新条款它要是真那么厉害
[05:33] 可以给其他国家直接加关税
[05:34] 那特朗普他早为什么不用呢
[05:36] 因为这里头呢
[05:37] 他有两个限制
[05:39] 第一 这个关税的上限就是15%
[05:41] 但更重要的是这个第二
[05:43] 它只能维持最长150天
[05:45] 其实相当于给了你一个临时性的措施
[05:47] 但白宫肯定没闲着呀
[05:49] 就在这150天期间
[05:50] 赶紧去找替代方案
[05:51] 很快呢
[05:52] 他们就在同一部法典里头
[05:53] 又找到了一个301条款
[05:55] 说只要正式调查
[05:57] 认定某个国家有不公平贸易行为
[06:00] 就能对他加税
[06:00] 没上限也没期限
[06:02] 你听着很完美对吧
[06:03] 但这个301条款它的缺点呢
[06:05] 就是流程很慢
[06:07] 你得立案听证都整套流程
[06:09] 正常的一两年
[06:10] 于是白宫说时迟纳时快
[06:12] 3月12号一天之内立了60个案
[06:14] 同时对60个经济体展开调查
[06:16] 看看你们怎么都不公平贸易了
[06:18] 感觉就像玩大家来找茬
[06:20] 最后呢找的理由就是说
[06:22] 这些经济体在一个非常计较嘎啦的
[06:24] 劳工纸标上不打标的
[06:26] 然后加速收集证据审理
[06:29] 仅仅三个月之后
[06:30] 6月2号就得出结论了
[06:31] 说这60个经济体
[06:32] 无一例外
[06:33] 全都有问题
[06:34] 最后7月24号
[06:37] 就在这个旧关税
[06:38] 150天大线到来的时候
[06:40] 这个新关税
[06:41] 在当天零点
[06:42] 立即生效
[06:42] 又无风险接受
[06:44] 所以现在大致的格局是这样的
[06:48] 美国对60个经济体
[06:49] 覆盖自己99.4%的进口
[06:52] 收10%或者12.5%的额外关税
[06:54] 这里边欧盟
[06:56] 英国 加拿大 墨西哥 印度是10%
[06:58] 中国 日本 韩国 瑞士是12.5%
[07:01] 当然像什么钢铁 铝 汽车 芯片
[07:04] 这些是按行业的时候
[07:05] 维持不变
[07:06] 整体美国的有效关税
[07:08] 去年年底大概是14%左右
[07:10] 现在降到了大概11%
[07:12] 其实你要按这个结果来看
[07:14] 现在跟去年年底的情况
[07:15] 已经差别不大了
[07:16] 那这事现在就这么完了吗
[07:19] 差远了
[07:19] 这个新的关税
[07:20] 之前的进口商还是追上上升
[07:23] 你想99%的贸易伙伴
[07:25] 它都不公平交易
[07:26] 这个显然不太合理
[07:28] 借口有点牵强
[07:29] 所以这次的上诉团
[07:30] 明显壮大了
[07:31] 不光是进口商
[07:32] 有25个州的总检察长和州长
[07:34] 也都组团起诉了
[07:35] 按照上一轮的剧本
[07:36] 咱估计这个案子
[07:38] 还要爬一遍三级法院
[07:40] 达成还得达到最高法
[07:41] 真要被推翻
[07:42] 整个这套收税判违法
[07:44] 退税这套流程
[07:45] 还得再来一遍
[07:46] 但企业和市场
[07:47] 现在倒是想开了
[07:48] 也接受了
[07:49] 甚至还衍生出了一个
[07:50] 退税退款的
[07:51] 二级市场的产品
[07:52] 叫做关税退款债权
[07:54] 就是有一些等不及的小进口商
[07:56] 他们可以把未来可能收到的退款
[07:59] 折价卖给对冲基金
[08:00] 然后拿到现金
[08:01] 有点像一个未来退款的期货
[08:03] 有对冲基金现在专门搞这个
[08:05] 据估算这个二级市场
[08:06] 可能已经达到了1000亿美元
[08:08] 你看看
[08:09] 去年特朗普费那么大劲
[08:11] 整的这个关税
[08:12] 今年直接反弹
[08:13] 那这么一来一回
[08:15] 赢家和输家分别又是谁呢
[08:17] 最舒服的肯定是大进口商
[08:20] 你看去年关税那么高
[08:22] 美国企业的利润
[08:23] 还增长了7%
[08:24] 创下了记录
[08:25] 所以并不是说
[08:25] 那1660亿的关税
[08:27] 就是这些进口商自己承担了
[08:28] 大部分呢
[08:29] 还是都转嫁给了消费者
[08:30] 他们自己反倒更赚钱了
[08:32] 而今年的关税呢
[08:33] 是退到了他们的账户上
[08:34] 还带利息
[08:35] 是吧
[08:36] 这就很好了
[08:37] 而财政部呢
[08:38] 肯定是账面上最大的输家
[08:40] 退了上千亿
[08:41] 还得倒贴利息
[08:42] 回头肯定还得发国债来扛
[08:44] 其他的贸易伙伴呢
[08:45] 之前关税
[08:46] 肯定是受到了不小的冲击
[08:48] 但这轮退税
[08:49] 跟他们是没啥关系
[08:50] 所以更多就是
[08:51] 看个热闹
[08:52] 而比较惨的
[08:53] 肯定是美国普通的消费者
[08:55] 去年涨价
[08:55] 钱主要是他们掏的
[08:57] 今年退款
[08:57] 只退给了进口商
[08:59] 他们一分钱没拿着
[09:00] 薪税又无缝衔接上
[09:01] 消费者们吃了这么大亏
[09:03] 怎么办呀
[09:03] 你应该也学会了吧
[09:05] 美国现在冲出来
[09:07] 一百多起集体诉讼
[09:08] 消费者告Costco
[09:09] 告Nike
[09:10] 理由就是
[09:10] 去年涨价的时候
[09:11] 你说因为关税
[09:12] 现在关税退给你了
[09:13] 那我呢
[09:16] 我跟你说
[09:17] 我觉得这背后
[09:18] 真正最大的赢家
[09:19] 甚至都不是那些
[09:20] 美国的进口商
[09:21] 也不是美国国会
[09:22] 更不是特朗普
[09:23] 你知道是谁吗
[09:24] 应该是律师
[09:26] 美国这法院真是热闹
[09:29] 动不动就上诉
[09:30] 那律师当然赚钱了
[09:31] 我现在算是知道
[09:32] 为什么美国历史上
[09:33] 有超过一半的总统
[09:34] 都是律师出身了
[09:35] 其实这事吧
[09:38] 咱往根上跑
[09:39] 这个宪法
[09:39] 把税权给了国会
[09:41] 但国会呢
[09:42] 吵来吵去立不了法
[09:43] 总统就去翻
[09:44] 旧法案里头的应急条款
[09:45] 一条不行再换一条
[09:46] 越用越顺手
[09:47] 最后踩刹车的只剩法院
[09:49] 于是就变成了
[09:51] 今天签
[09:52] 明天告
[09:53] 后天判
[09:53] 后天再退钱
[09:54] 然后又签新的关税
[09:55] 再告再判再退钱
[09:57] 这么来来回回的折腾
[09:58] 拉着国内所有的进口商
[10:00] 律师
[10:01] 其他的贸易伙伴
[10:02] 在这折腾跑圈
[10:03] 甚至都搞上金融创新了
[10:05] 你也说不上来
[10:05] 这到底是自由市场的体现呢
[10:08] 还是资源的浪费呢
