[00:00] 讓我們掌聲歡迎我們今天的主講者馬克揚老師來跟大家分享
[09:04] 那這個就叫Bad Manners
[09:07] 那不過我們就是輕易一下戰場
[09:09] 就是說如果我們是為了達到盡量最好的結果的話
[09:14] 我們盡量不要選到完全劣節
[09:16] 因為其實就是怎樣是正確的
[09:20] 都還是跟目標最有關係
[09:23] 例如說你的目標是炫耀你很有錢
[09:26] 所以你就故意做很多很奇怪的事
[09:29] 那你如果太認真玩遊戲
[09:30] 你就沒辦法彰顯你的有錢了對吧
[09:33] 所以就是我們是還是清理一下戰場
[09:36] 就是這個我們還是嚴謹的描述我們的整個架構
[09:41] 好那完全裂解呢
[09:43] 是我設計的翻譯
[09:46] 那當然我在整個我的知識體系裡面
[09:48] 有設計很多我自己的翻譯
[09:50] 例如說精神力等級
[09:52] 我們待會會學到另一個詞
[09:54] 完全裂解不一定是一個負期望值的選項
[09:59] 例如說高谷息ETF或槓桿型ETF
[10:02] 它們都可以是正期望值的完全裂解
[10:06] 例如說買00506或是任何的高谷息ETF
[10:12] 它可能會很容易被輕易的被另外一個選擇給完全壓制
[10:19] 但是呢,畢竟它還算是長時間的把部位做多投入在股市裡面
[10:26] 那大致上它還是很容易會是一個正期望值的選擇
[10:30] 只是呢,我們就是如果可以在只是做了另外一個選擇
[10:39] 然後沒有承擔任何額外的風險
[10:41] 然後也沒有任何,就是另外一個選項也是可進的情況下
[10:46] 就是接近的近的情況下
[10:49] 就平白無故的有更好的結果的話
[10:52] 我們盡量還是選
[10:53] 就是不要選到完全裂解
[10:56] 那但是呢
[10:57] 這個完全裂解不一定是負期望值
[11:00] 所以有些人會說
[11:02] 反正我還是有賺到錢
[11:04] 但是這個是
[11:06] 跟我們要討論事情是沒有關係的嘛
[11:09] 就是
[11:10] 例如說這個
[11:12] 你做某一件事情
[11:14] 然後可以平白無故的賺一千塊
[11:16] 平白無故的賺一千五百塊
[11:18] 那就是畢竟你在電腦前面
[11:20] 你按來按去也沒有人知道你賺走誰的錢
[11:23] 那你可以按賺一千五百塊選項
[11:26] 肯定還是比較好一點
[11:29] 好那就是首歌分析是一種排序的方式
[11:34] 就是排什麼樣的選項優於另外一個選項
[11:39] 所以比較壞的選項有可能還是正期望值
[11:44] 那相反的來說也是有可能所有的選項都是吃虧的
[11:49] 所有選項都是負期望值的
[11:51] 例如說可能有一些咖啡賣得比較貴
[11:55] 那你可能有一杯咖啡
[11:58] 他說他是這個非常厲害的豆子或什麼
[12:01] 那他一杯咖啡賣兩萬塊
[12:03] 可是兩杯咖啡賣一萬
[12:06] 那這樣的話兩杯咖啡賣一萬
[12:09] 就是兩杯咖啡一萬
[12:10] 就一定是完全支配了一杯咖啡兩萬這個選擇
[12:14] 但是兩杯咖啡一萬就會是划算的選擇嗎
[12:19] 可能不是
[12:20] 就是它可能還是一個太貴的選擇
[12:22] 就是如果有一個選項壓制了另外一個選項
[12:26] 它仍然不一定是一個可選的選項
[12:28] 但至少你刪除了
[12:30] 一定不要去選一杯咖啡兩萬這個方案
[12:33] 大家應該到這邊都還是在非常可以理解的範圍
[12:38] 好 那這個就是之前有講
[12:41] 就是說如果在去年這個大盤跌停的時候
[12:45] 那同時有-10%的商品
[12:49] 例如說跌停的0050
[12:51] 那和在期權市場同時有大盤下跌15%的選擇權
[12:58] 那你可以組合成這個等價的商品
[13:02] 那這樣的話
[13:03] 這個選擇買跌停的台子期
[13:08] 或跌停的0050就会是一个被完全压制
[13:11] 完全支配的完全裂解
[13:13] 那这个去年就有一些这个指数型投资网红
[13:17] 他们就在大盘跌停的那天
[13:20] 就是觉得说这样的话
[13:22] 这个股价就是打了九折
[13:25] 那他们就去买做多0050或者是太子旗
[13:29] 那这个就是一个被压制的选项
[13:31] 好那另外一个是这个
[13:36] 两倍杠杆做多的
[13:38] 做多台股大盘的各种正二
[13:42] 不一定是原大正二
[13:43] 我们群一也有出正二
[13:45] 然后或者是说
[13:46] 好我们先就是讲台制的好了
[13:49] 就是那它的另外一个选择
[13:52] 就是如果都是组合成
[13:54] 两倍做多的杠杆的话
[13:56] 那我们也可以用股票的现货
[13:58] 组合台制期来组合一个组合单
[14:02] 那我们知道这个正二
[14:04] 它们它本来是全部都是台子旗
[14:08] 就是持仓200%的台子旗
[14:11] 所以其实元大的正二
[14:15] 它其实不是0050正二
[14:17] 它是台子旗正二
[14:19] 不过这个大家应该也不是很在乎
[14:22] 它的名称是不是符合它实际上在做的事情
[14:25] 因为毕竟那个确实也是不是很重要
[14:28] 好那但是呢
[14:30] 因为现在的这个市场
[14:34] 几乎证价差都是非常非常大
[14:36] 而且是可能这个下一个月的期货
[14:41] 就直接比这个月的期货贵了1% 0.5%之类的
[14:46] 那累积到一年的话
[14:47] 可能这个12个月累加起来
[14:50] 可能是一个10%以上的差距
[14:53] 那所以你支付的证价差越少
[14:56] 一定你的绩效会再更好一点
[14:59] 所以你如果提升你现货持有的比例
[15:03] 跟你全部都是持有台资期比起来的话
[15:07] 那你的绩效就一定会提升
[15:09] 那所以都一样是目标是两倍钢杆做多的话
[15:13] 现货加这个台期货的组合单
[15:17] 就会压制纯现货的这个单
[15:21] 然后而且这个正二还会有波动耗损
[15:25] 跟再平衡的另外两个坏处
[15:27] 那就是首个分析不一定是在
[15:31] 只有一种情况或两种情况的
[15:34] 它可能可以有各式各样不同的分支
[15:37] 那例如说
[15:39] 杠杆型ETF正二
[15:41] 它们在这个现货价台资级的组合单
[15:44] 期现货组合单赚1000万的时候
[15:47] 正二是赚800万
[15:49] 但是在亏钱的时候
[15:50] 可能是输1000万变成输1200万
[15:54] 那盘整的话
[15:56] 因为它有这个物竞依赖跟波动耗损的关系
[15:59] 所以可能零
[16:01] 但是正二还是要输50万
[16:04] 那也就是说在各种不同的分支情况里面
[16:08] 这个正二都被期货加现货的组合单给压制
[16:12] 就是例如说赢钱的时候少赢200万
[16:15] 输钱的时候多输200万
[16:18] 那这样的话
[16:19] 就是第一个选项就是被第二个选项完全给支配
[16:24] 那但是呢
[16:27] 因为其实会长期持有政恶的人
[16:30] 他们很可能是
[16:32] 就是几乎完全不知道自己持有了什么东西
[16:36] 他只知道自己做了一个近似两倍杠杆
[16:40] 或者他们认为自己就是做了一个两倍杠杆的事情
[16:43] 那他可能就看结果
[16:45] 他这个在上涨的
[16:47] 因为现在是走进上涨的分支嘛
[16:49] 他觉得他资产还是有增加800万
[16:52] 那还是非常不错啊
[16:53] 但是如果你做的是正确的选择的话
[16:57] 至少在不同的分支
[16:58] 例如说赢钱的分支
[17:00] 你实际上还可以再多赢200万
[17:02] 那下跌的时候也会输比较少
[17:05] 那在各种钢链型ETF
[17:09] 它平均来说
[17:11] 就是它的年化报酬率
[17:12] 大概就是在1.6倍1.7倍左右
[17:16] 也就是说它赢钱的时候
[17:18] 可能会多赢6、70%
[17:20] 但是输钱的时候
[17:21] 会可能要多输不一定多少
[17:24] 那当然这个不是一个固定的值
[17:27] 因为这个就是
[17:29] 如果每天在平衡的话
[17:31] 那它的路径依赖会非常非常的重
[17:34] 路径依赖就是说
[17:36] 如果它上涨又下跌
[17:38] 上涨又下跌的话
[17:39] 每一次上涨又下跌
[17:41] 它就会多输一点点钱
[17:43] 因为就是这个A加B乘以A减B
[17:47] 会是A平方减B平方
[17:48] 它会多输一个B平方
[17:50] 所以它不一定是1.5倍、1.6倍的賺到的錢
[18:00] 例如說它如果是跟原型比的話
[18:05] 不一定會是一個很合理的比較
[18:07] 因為它們應該說會是變成一個很難比的比較
[18:11] 因為它們的槓桿倍率是不一樣的
[18:14] 槓桿倍率不一樣
[18:15] 它們承受的風險不一樣
[18:17] 然後報酬也不一樣
[18:18] 同時有兩個不一樣的選項的維度
[18:21] 這樣你會不容易至少知道它是完全裂解
[18:25] 但是如果你是跟期限或組合單比的話
[18:28] 你就很容易知道各種的槓桿型ETF是完全裂解
[18:34] 那就是因為通常會希望
[18:41] 就是宣傳說長期持有槓桿型ETF的人
[18:45] 他們可能對於這個遊戲的基礎遊戲規則了解是非常低的
[18:52] 所以他們可能就會喜歡講一些安全廢話
[18:56] 他們會希望安全的說到一個安全廢話
[19:02] 他們會以為工具和選擇沒有好壞之分
[19:05] 只是看人怎麼用是一個安全廢話
[19:07] 但是實際上不是
[19:08] 就是這句話仍然是一個錯的話
[19:11] 就是有一些選項是會被其他的選項給完全支配
[19:16] 它完全沒有增加任何好處
[19:19] 然後還增加很多壞處
[19:21] 那這樣的話
[19:22] 至少這個一定是不好的選項
[19:23] 那它可以被刪掉
[19:25] 那當然我們講的是
[19:27] 如果我們的目標是得到更好的結果的話
[19:30] 這是很糟糕的選擇嘛
[19:32] 但是這個我也開玩笑的發過文說
[19:35] 這個買這些
[19:36] 這個
[19:37] 比如說
[19:39] 高股息ETF的人
[19:41] 他們可能是一個炫富的性質
[19:43] 或者是甚至我們有看到
[19:46] 這個有一些投資網紅
[19:47] 他們用高股息ETF來做現貨的當沖
[19:52] 哇那這個就是非常炫富
[19:54] 他使用一個非常特殊的工具
[19:56] 然後來做這個現貨的當沖
[20:01] 好那但是我猜他們實際上不是為了炫富
[20:05] 他們就只是不知道自己在做什麼而已
[20:07] 不只是元大證額、群一證額或者是各種台股證額
[20:17] 例如說它可以是QQQ的三倍做多
[20:20] 特斯拉的兩倍做多
[20:22] 任何的槓桿型ETF都是不適合長期持有的
[20:26] 這個跟要不要開槓桿是兩個無關的不同話題
[20:32] 就是在數學上的話
[20:35] 我們一直維持我們的資金
[20:38] 一直在兩倍到三倍之間的槓桿的話
[20:41] 這個數學上最後你的結果會是最好的
[20:44] 那剛好它是很接近這個2.7倍槓桿附近的時候
[20:50] 會達到一個最佳
[20:51] 大家知道這個2.71828是一個很特殊的數字
[20:55] 那所以呢大部分的槓桿型ETF
[20:58] 都會是在選擇兩倍槓桿或三倍槓桿
[21:02] 那就不太會有五倍十倍槓桿的槓桿型ETF
[21:06] 因為就是至少它是要
[21:09] 雖然它因為就是要給自己一個制約
[21:14] 就是它的進出要非常明確
[21:17] 所以幾乎槓桿型ETF都是每日在平衡
[21:20] 但是至少他們做的是這個
[21:22] 都會選擇是兩倍或三倍的長期的每日在平衡
[21:29] 好 那我的意思是說就是
[21:32] 開兩倍或三倍槓桿
[21:34] 這件事情本身是非常好的
[21:36] 但是槓桿型ETF會每日再平衡
[21:40] 而且幾乎都是
[21:43] 有可能是純粹持有期貨
[21:45] 雖然現在有些是組合現貨
[21:48] 但仍然還是無法避免它的
[21:51] 誓約給它造成的缺點
[21:56] 他們的說明書本身就直接寫說
[21:59] 這個不適合長期持有
[22:03] 鋼纜型ETF它們會有路徑依賴跟波動率耗損
[22:08] 就是我剛說的
[22:10] 就是
[22:11] 如果
[22:11] 這個
[22:12] 括號A加B乘以括號A減B,C平方減B平方
[22:15] 如果你
[22:16] 先上漲了30%然後又下跌30%
[22:19] 或是上漲3%下跌3%
[22:21] 它最後價錢在原本的數字
[22:24] 的時候它幾乎
[22:25] 它的淨值是會降低的
[22:27] 因為
[22:28] 它需要做每天的再平衡
[22:31] 实际上再平衡这件事情是正确而且重要的
[22:35] 但是每天的再平衡就是一个太高频率的再平衡
[22:41] 好那刚好我在
[22:42] 就是反正我每次讲座的主题
[22:46] 就是刚好遇到什么样的事情
[22:48] 或者是刚好最近有些人说了什么
[22:51] 刚好就是这个题目就可以来跟大家分享一下
[22:56] 那所以这个我的YouTube上应该现在有
[22:59] 十次不同的群一期货演讲吧
[23:02] 就是我都會上傳YouTube
[23:04] 反正如果審核有過的話
[23:07] 就可以上傳YouTube
[23:08] 然後就是我可以每次都講一樣的
[23:11] 反正就是剛好看到什麼的主題
[23:13] 就可以講什麼樣的主題
[23:17] 那剛好今年四月的時候
[23:20] 就是我寫說
[23:22] 就是那時候是寫
[23:24] 元大的政惡是
[23:26] 臺灣五十政惡是不適合長期持有
[23:29] 那除了他自己的說明書
[23:32] 寫不適合長期持有的話
[23:33] 就是我舉了一個例子
[23:35] 就是期貨加現貨的組合單
[23:38] 一定是比就是台灣五時正二更好
[23:43] 因為它會很輕易的會是一個
[23:46] 這個就是帕萊托支配它的另外一個選擇
[23:50] 然後結果剛好
[23:52] 在我四月發文的五月元大的
[23:55] 這個台灣五時正二
[23:57] 它就真的改成持有40%的現貨
[24:01] 加160%的台资期
[24:03] 原本他是持有200%的台资期
[24:06] 那也就是说他把他其中40%的部位
[24:10] 变成是持有台积电的现货
[24:12] 那至少他做的这个选择是往好的方向做改变
[24:17] 因为他的新的这个做法一定压制了他原本旧的做法
[24:21] 就是他可以少支付那40%持仓的正价差
[24:26] 那其实是蛮贵的
[24:28] 如果40%要付10%的增加差的话
[24:33] 那就是4%
[24:34] 一年在4%左右
[24:36] 光是他做了这一个不同的选择
[24:41] 他一年的绩效就可能会提升4%左右
[24:45] 就是平均来说会提升这么多
[24:47] 那这个肯定是一个好的改变方向
[24:50] 但其实可以再更高一点会更好
[24:55] 就是他现货的持仓比例
[24:57] 因為在台灣現在一路上漲的過程
[25:10] 長期持有政惡的人他們就會賺到很多錢
[25:15] 因為他們雖然是用一個不好的方式
[25:17] 長期開兩倍槓桿
[25:19] 但至少他們是有開兩倍槓桿的
[25:21] 因為他們不知道自己在做什麼
[25:25] 但是最後有賺到錢
[25:27] 他们现在就是会比较大声
[25:30] 比较觉得我们现在分享一个非常好的做法
[25:33] 我相信他们都完全不是要害别人
[25:35] 只是他们不确定自己在做什么
[25:38] 但是他们有赚到钱
[25:39] 他们就想要跟大家分享
[25:42] 那他们可能就会想要跟大家说
[25:44] 这个正二他是不需要支付正价差的
[25:48] 但如果你是用台资企业的话
[25:50] 你会一直支付正价差
[25:52] 但其实这个台股的正二
[25:55] 他们也是帮你去买胎质期
[25:57] 那既然他是去帮你买胎质期
[26:00] 他就一样要付这个胎质期的正价差
[26:03] 也就是说在首个分析里面
[26:05] 这个是一个不重要的因素
[26:08] 就是两个选项都要支付这件事
[26:11] 也就是在这个维度是完全相同的
[26:14] 那再来就是
[26:18] 但是杠杆型ETF
[26:20] 它是每天再平衡一次
[26:22] 这个再平衡的频率真的太高了
[26:25] 所以光是他提升成改成每两天再平衡一次
[26:30] 他就可以提升绩效
[26:32] 就是压制他原本的选项
[26:34] 所以就是就算现在这个
[26:37] 就是元大的这个台湾50正二
[26:42] 他改成了40%持仓现货加160%期货
[26:47] 他一定有变好
[26:49] 而且是其实变好蛮多的
[26:51] 但是它仍然可以轻易的被持有期货加现货的组合单压制
[26:57] 所以它仍然是一个完全裂解
[27:00] 就是它仍然是一个确定不好的选择
[27:03] 那我们刚刚有说嘛
[27:05] 完全裂解不一定要是付期光值的
[27:07] 只是呢
[27:08] 如果你在你做了一些学习
[27:13] 那学习期货的这个杠杆怎么样计算
[27:17] 那你可以在赢钱的时候总是多赢钱
[27:20] 輸錢的時候總是多輸錢
[27:22] 那多做這樣的學習應該是非常非常值得的
[27:28] 那當然我有說嘛
[27:30] 就是如果總資產低於100萬的人
[27:32] 其實是可以還不需要開始學投資
[27:35] 學千文錢的科技
[27:36] 就是我們研發任何科技都還是需要耗費資源
[27:41] 那個資源可以是你的精力啊
[27:43] 你的時間錢或任何東西
[27:46] 就是因為你在一開始資源很少的時候
[27:50] 你应该想办法是提升你每个月的月收入
[27:53] 可能是换成一个更好的工作
[27:56] 或是兼差或是副业
[27:58] 就是让你自己的投资组合
[28:01] 或是你自己整个人的财务状况
[28:03] 不要有原本的那么脆弱
[28:05] 那当然可能有些人会觉得说
[28:07] 可是换工作或者是去跑Uber
[28:10] 都还是非常困难
[28:12] 哪有那么简单
[28:13] 但是跟你要从股市里面每个月多赢
[28:18] 两万块三万块相比
[28:20] 你要靠换工作或者是跑Uber Eats
[28:24] 每个月多赚两三万块
[28:25] 一定是比在股市里
[28:28] 每个月多赚两三万块简单非常多
[28:30] 所以就是在资金达到一定的规模之后
[28:34] 再开始研究潜滚前的科技
[28:36] 还是会比较好
[28:37] 而且如果到稍微有一些资产的规模
[28:44] 潜滚前的科技对于你后续的影响
[28:47] 就会非常非常巨大
[28:49] 就是例如说你每一年光是多0.5%或多1%的绩效
[28:54] 那这个就是你最后的结果
[28:57] 在10年20年就是10次方20次方之后
[29:01] 就会有非常大的不同
[29:02] 好那就是因为今年的这个股市
[29:10] 台股是上涨了50%左右
[29:13] 虽然现在有一些下跌回来
[29:15] 曾經有到漲60幾% 63% 64%的時候
[29:20] 但是現在漲50%還是漲非常非常多
[29:23] 那相信大家可能今年都是還蠻不錯的
[29:29] 但是如果你可以學習
[29:31] 怎麼正確的使用期貨這個工具的話
[29:34] 那可能你的績效又可以再有更高的提升
[29:38] 然後剛好講另外一個就是一定被壓制的選擇
[29:43] 就是很多我最近看到那些
[29:48] 就是長期持有這個台股正二的人
[29:53] 他們甚至建議了一個超級奇怪的方式
[29:56] 就是實際上他不開槓桿
[29:59] 他持有50%資產的正二
[30:03] 加上50%的現金
[30:05] 那這個是一個非常明顯
[30:09] 一定被隨便亂舉例都完全壓制的選項
[30:13] 例如說它是持有50%正額跟50%現金
[30:17] 那它改成
[30:17] 因為它這樣子其實還是一倍槓桿
[30:20] 那它光是改成持有40%的現貨
[30:27] 加上30%的正額
[30:29] 加起來是0.4乘以0.3乘2
[30:33] 還是一樣是一倍槓桿
[30:34] 但是它光是提高自己持有現貨的比例
[30:40] 它就可以少支付很多正價差
[30:42] 而且它还是一样就是维持在一倍杠杆
[30:47] 那当然它少持有了20%的现金
[30:50] 但是现金现在存在银行的利息
[30:53] 真的是低到超级无敌低
[30:55] 它少付的那个正价差10%
[30:58] 一定比它的利息高非常非常多
[31:01] 也就是说它任何的减少自己正二的长期持有比例
[31:08] 以換成0050或任何的這個大盤的現貨
[31:12] 都會提升它的績效
[31:15] 而且是確定壓制它原本的選項
[31:18] 所以如果它的目標就已經是
[31:21] 一倍槓桿不開槓桿
[31:23] 然後還持有50%長期持有的正額
[31:27] 那這個就是顯然是一個完全裂解
[31:32] 就是它確定是一個不好的選項
[31:34] 好,就是槓桿型ETF它實際上是被設計成給被禁止交易期貨的人使用
[31:47] 那可能是那個商品沒有流動性好的期貨
[31:52] 或者是比較常見的原因是那個法人
[31:56] 法人是相對於自然人
[31:58] 就是那個法人他是被規定不能夠持有期貨
[32:03] 只能夠持有現貨
[32:04] 那槓桿型ETF至少它法律上還是屬於基金
[32:09] 還是屬於這個現貨
[32:11] 那所以它可能在短暫需要開槓桿的時候
[32:14] 可以持有這個槓桿型ETF
[32:18] 然後短暫的持有然後賣掉
[32:19] 或是它就是做一些它特殊需求而做的持倉
[32:24] 那但是我們大部分的自然人
[32:26] 都是可以持有這個就是期貨的嘛
[32:30] 不管是胎子期或是個股期
[32:32] 所以我們顯然沒有被禁止交易期貨
[32:36] 所以需要這個長期持有槓桿型ETF這樣的需求
[32:41] 那就是他們其實就是長期持有鎮惡現貨的人
[32:48] 他們應該大部分都是完全沒有開期貨帳戶
[32:51] 然後通常他們有另一個很常見的原因
[32:54] 就是他們說期貨會斷頭
[32:57] 但是現貨不會
[32:59] 可是呢這個的話就是一樣
[33:00] 他們都是用不同的槓桿數字在比
[33:04] 例如說正二跟0050比
[33:07] 那這個就是兩倍槓桿跟一倍槓桿比
[33:09] 這都是張飛打岳飛
[33:11] 那如果他是用兩倍槓桿跟台子棋
[33:14] 一直開十倍槓桿比
[33:15] 那十倍槓桿確實
[33:17] 就是我們剛剛有說了
[33:19] 數學上兩到三倍槓桿之間是最好的
[33:23] 那超過的話你的那個
[33:26] 就是risk of ruin
[33:28] 就是破產機率會大幅的提升
[33:30] 所以就反而變成不好的
[33:33] 那所以其實它
[33:35] 這個跟十倍槓桿會破產
[33:37] 和一倍槓桿賺不夠多錢比
[33:40] 證明的只是說明了
[33:42] 兩到三倍槓桿之間
[33:44] 是比一倍或十倍槓桿更好
[33:47] 但是完全沒有說明
[33:49] 這個產品是比較好的
[33:50] 所以如果我們要進行正確的首個分析
[33:53] 應該是完全相同的槓桿比例去相比
[33:57] 譬如說鎮二跟期限貨的組合單相比
[34:02] 那就是如果這個期限貨的組合單
[34:07] 它壓制長期持有槓桿型ETF
[34:11] 那如果都是兩倍槓桿
[34:13] 期貨要被斷頭的時候
[34:16] 那鎮二就是要再輸更多錢
[34:18] 那可能大盤要跌到兩萬多點
[34:21] 然後而且鎮二會比這個
[34:24] 就是台子旗還更快的
[34:28] 就是淨值就是虧掉更多的錢
