source,title,url,published,query,sentiment,score,impact,tickers,reason
Google News,台股 AGI 題材火紅 半導體 ETF 績效開跑 - UDN,https://news.google.com/rss/articles/CBMiVkFVX3lxTFBoNHE4ekJHTThHU0d6RU9vRnNjc3RzWHN6eWRvUnpDMUxUS2dISzJMR1g2ZkppRUdvMFA1a2g2UUFkMlMta05SYURmMmxWb3JONU5IMUd30gFWQVVfeXFMUGg0cTh6QkdNOEdTR3pFT29Gc2NzdHNYc3p5ZG9SekMxTFRLZ0hLMkxHWDZmSmlFR28wUDVraDZRQWQyUy1rTlJhRGYybFZvck41TkgxR3c?oc=5,2026-09-08 08:26,半導體 台股,positive,0.55,medium,,AGI題材火紅帶動半導體ETF績效開跑
Google News,世界第一等！從幼稚園就學半導體 台灣晶片教育太高招 - 三立新聞,https://news.google.com/rss/articles/CBMiS0FVX3lxTE1GUTRRd3RFVkJvcTA5YjFrTllOR3hJMDM5NWJIdmFhaWNrVkNZYmk5aGROdUlWRGdGY0xJenlVXzB3NXdDNkttN1EzVQ?oc=5,2026-09-09 20:44,半導體 台股,positive,0.3,low,,台灣半導體教育推動為產業長期軟性利多
Google News,《研究報告》AI點火 台半導體ETF開飆 - 富聯網,https://news.google.com/rss/articles/CBMiiAFBVV95cUxOSVRMMDh5WGRWcnk5d3hVVjNkTWhWTHFGeWg2OUo2U0xUWVNCWkpmbGJVa19JZ2MwLXhoaWdCTy1RYmFnQXc3dmhucXZqa1BtLXgzWlJWb0FmTmJWSTk2S1MzaVJOVXA4dURMWEE0U3RfaFBlOUtFbkNxT0JlYXR6aENWTnVucGtx?oc=5,2026-09-10 00:24,半導體 台股,positive,0.5,medium,,研究報告認為AI驅動半導體ETF飆漲
Google News,AI從雲端走向機器人！00891布局台灣半導體 ASML、Arm同步擴大版圖 - UDN,https://news.google.com/rss/articles/CBMiU0FVX3lxTE1VTXloZTFGN3NISVFiQmppdG10ZWJPRHhEY1BHMU15QVZZM0c2QzZocExSdjdsMXJwUFNtcWRrSHVyRzIxWXE4SEp5Y1pkaDQ4Mldr0gFYQVVfeXFMUDRENWxkdFpBdC04VVUxT1c0aDlNOFA4dUVzX2x5dHk1NHU0Qmpvcjdpa1B5VndkNGYwbkRma2ctc1gza1FrS1Z1WElHUU5YajRtTGtwUHVpMA?oc=5,2026-09-09 03:48,半導體 台股,positive,0.6,medium,,AI應用從雲端擴至機器人，帶動台灣半導體需求
Google News,台股開高走低靠塑化、光電、PCB撐紅盤分析師：等待CPI結果再布局- 證券 - 工商時報,https://news.google.com/rss/articles/CBMiX0FVX3lxTFA3Q0hWaXgtblJnT3paTmMtX01pWFQyMnlkZFdMTEthOHVTMy12THpqUDV0NHpUUzNRa2ZyaDVfc09jSkdxckg2MXFPTXZZSW0zeEhpSC1PdnN4OVNidVp3?oc=5,2026-09-09 07:17,面板 光電 台股,neutral,0.0,high,,台股開高走低但靠塑化等撐住紅盤，市場等待CPI結果指引
Google News,AI伺服器供應鏈8月營收報捷，電子零組件拉貨強，散熱與PCB廠同創新高！-財經焦點情報站 - CMoney投資網誌,https://news.google.com/rss/articles/CBMiggFBVV95cUxPNVNSOVZZOGg1V2JEZFZRd0xVUUlTY3FzNEhRZ1Y4NTQxdmcxMkkxZy1iYmhMVTNKaU5HRkhBeFcybV9UMko1Ni1maEhhNVlqTFhHWVhSSnNOR0tiOFk3bk9EQnY4dVdpS0t3eTkwX0tlNTdHdkF5WnhLUjB4ZW5vOEZ3?oc=5,2026-09-08 08:34,PCB 電子零組件 台股,positive,0.75,high,,AI伺服器供應鏈營收報捷，散熱與PCB廠同創新高
Google News,【優分析即時新聞】微星(2377)毛利率衝上15.97%創高，RTX Spark接單熱、AI伺服器拚2026翻倍 - news.cnyes.com,https://news.google.com/rss/articles/CBMiT0FVX3lxTFBEQk45bURYWXBxcjVHY09mZHV2NHhodXNCd0NCdnVLSzZQNWJSdnNFWmJOdk9XaklTMGw2RjhXUktGTzBZeE5uMnVZLVRCN3M?oc=5,2026-09-10 04:00,伺服器 AI硬體 台股,positive,0.8,medium,2377,微星毛利率創高15.97%，RTX Spark接單熱，AI伺服器目標2026翻倍
Google News,【美股巨頭】亞馬遜砸16億綁住台灣緯穎，在美國本土造AI伺服器 - CMoney投資網誌,https://news.google.com/rss/articles/CBMijgFBVV95cUxNTUNwdGpNRUVYWnpsSlF3bHZRNEJ6dkJ1ZXl4X1pXLTl3alZsZGtwektFV2V0eGJ4U1VyckJ3bzBUcGdpVzF1Y0tTSUZIcnE1dnFVV29HazFYLXh6aC1sMXFnZFVUMS01QW50MUJkUWU3VThYSEFmbHJCNXdZb0JIeTFyUEZoT0pIWXNTeU93?oc=5,2026-09-10 02:32,伺服器 AI硬體 台股,positive,0.7,medium,3090,亞馬遜砸16億綁住緯穎，大客戶需求確認
Google News,領頭羊AI帶頭衝台股Q4可望三「揚」開泰| 財經 - newtalk.tw,https://news.google.com/rss/articles/CBMiW0FVX3lxTE55U0hDam00N2hyU2V3N2syWnhRNlBIN2NoeldVUF9oRHhza0pSMlJYMzJacERNVk5DNnJ2YVNYTzFiTzNDR0N5eWxReUJzUFFHSnFVV1o4Sk1kLU0?oc=5,2026-09-10 02:40,伺服器 AI硬體 台股,positive,0.6,high,,AI領頭羊帶動台股Q4樂觀展望
Google News,Vera Rubin量產引爆需求！存股達人看00952 前十大持股近三成直接受惠 - 蕃新聞,https://news.google.com/rss/articles/CBMiUkFVX3lxTE9ZcUhlNS05elRSMERuMTBpc0l1VXpKQzdhelVFRU0yQ0lQTURaQ3ltOW1IdHVVbjJCY0lHNldNdEdLLUNsSTgwaU52R0lnRV9PQnc?oc=5,2026-09-10 02:51,伺服器 AI硬體 台股,positive,0.6,high,,Vera Rubin量產引爆需求，供應鏈受惠廣泛
Google News,台股陷入盤整！實測「靠這招」　60天平均報酬達6.4% - setn.com,https://news.google.com/rss/articles/CBMiSEFVX3lxTE1hZEFmY3p0dmtBajJsY09rcVU2c1BCZmQ3dVBicjh2SUFFN0dhQWh1Uk9xU0pWWk1UNWNZN0IzSHh6RUFWVFFQatIBTEFVX3lxTE1vQ1k5M2g0OEhKc05HX2NTZm5HRlpMbElDT1U0QWk5aVBRR1ZqMUVteGl0SVJPUnFmSEcxWENtV0sxZmZFUE1yX0N1SE8?oc=5,2026-09-09 21:26,伺服器 AI硬體 台股,neutral,0.1,low,,市場盤整技術分析內容
Google News,老AI股跌慘！Vera Rubin傳延遲　謝金河：機櫃決定台灣產業命運 - ETtoday財經雲,https://news.google.com/rss/articles/CBMiUkFVX3lxTE9kcGJnYkwteENvRHlKQ2VjMUpHU0MwdmFjVFYwNjZuczAxREtqMWxYVW5rbTlYRlVQQjlrSnNicVlVbVFrVnk4YWZSdFBfelE2WnfSAVBBVV95cUxPMmhOVlpsdzZKV09ZY3h2Rl9pVFNDbXlka2l0Sy1vV3JUX2NXdDA1U2ttUjVjR29ISkgxOGpZVVlVYnRtUWpvMF9vaXltWnV6VA?oc=5,2026-09-08 09:18,伺服器 AI硬體 台股,negative,-0.7,high,,Vera Rubin傳延遲，老AI股跌慘引發產業擔憂
Google News,00991A近800億部位大風吹，AI硬體轉向半導體會延續嗎？-柏宇 KD 獲利模式 - CMoney投資網誌,https://news.google.com/rss/articles/CBMigAFBVV95cUxPN2JBQ0tYTi1vQWluWmk0a0hYMmJNbzJzcUpPekxTLWc5WU5ZZDJfV1RQdmRpSWdNcjlnQ003ZGNQcDc1eFJBOXk5bEVPQTdZbkJxYzkzTUlTNy1sa2k1U1pKRWlKd1RGaFZZVlpiNHZnMGk4YUpRdEtyc3pZNEkzbw?oc=5,2026-09-10 00:07,伺服器 AI硬體 台股,neutral,0.0,medium,,資金在AI硬體與半導體間流動轉換觀察
Google News,欣興營收大增56%助攻！跨國PCB「新秀」 規模暴增91.3% - 三立新聞,https://news.google.com/rss/articles/CBMiS0FVX3lxTE5adG1BR2pGeWVLX3dzNHFHTkxzZjNFNlhBVk5pNUh3WEJ4RVBPMXZ4YTNyNDB0d1FIWlNNa21kMG5Vek5VbmlxejVyRQ?oc=5,2026-09-09 21:03,伺服器 AI硬體 台股,positive,0.8,medium,3037,欣興營收大增56%，PCB規模暴增91.3%
Google News,智邦(2345)AI網通爆發！8月營收破400億，1.6T量產接棒，AI ASIC添新動能，不過市場最擔心是這個！ - news.cnyes.com,https://news.google.com/rss/articles/CBMiT0FVX3lxTFBORE5wVHFiU2pIMWZFZVB2amxxNmVVM3Y0YURMUWE3MXRlVHpFTXd0R2V4NkhJak9ndlFzSkk5cWtqa1ZPZlNlTm5IUmV3bEE?oc=5,2026-09-08 06:00,網通 台股,positive,0.8,medium,2345,智邦AI網通爆發，8月營收破400億，1.6T量產接棒
Google News,雙路進擊 Arm 搶占雲端資料中心商機 - 經濟日報,https://news.google.com/rss/articles/CBMigAFBVV95cUxPdTlJcG1IWjdzVlM1SS1HOV9lOFRweS1xSmJMZmk3QTIyeTlRVlJWUHpib2xHTUZUY3ZzVnh4LTIyVjRyM043cm1uUU1kTThvamNyRjlKbXJZZno2YUIwWkU3OGxkYVlhaHFiU2NNbno5WGQteHdkRXFPamV2cnphVNIBX0FVX3lxTE95ZTM5bHY4WGJJQnc1ZkpDSVdEZmduUDM3a0lHQ3I0VUlCWEtLLS1WRG1HNXJ6UHhoRkg2S2dNYkFTNWlheFZ3b21mOFE1dVJWZG0tNWIxRnpOa1RMM0FR?oc=5,2026-09-08 03:25,雲端 資料中心 台股,neutral,0.3,low,,Arm搶占雲端資料中心市場定位說明
Google News,佈局矽光代工！三星電子使用跟台積電同款測試設備做矽光PIC驗證台 - news.cnyes.com,https://news.google.com/rss/articles/CBMiT0FVX3lxTE5vYUg4NVlJUExiblQ2QVNyWEZRWXo0QWgzenBVZTRLUnVaR0x6cTVySlphM2piVnFySXBneERoQzNQSDc3VnItTlU1SVJLRHc?oc=5,2026-09-08 03:20,電子代工 台股,positive,0.5,medium,2330,三星採用台積電同款測試設備驗證矽光，供應鏈需求確認
Google News,長榮陽明補漲藏警訊？SCFI連6漲杜金龍：錢跑航運恐近「末段」 - 上市櫃 - 旺得富理財網,https://news.google.com/rss/articles/CBMiakFVX3lxTFBkRGQxVVpiSi1tQWtxZzM0ODBkX05OQjRTeUk1bG1neF9MSTFtLTRndHFIMEtybEJocUJ4amRwZW1TVUVxcU9FNmVoQlZyZHp4YV9uOThFZGZCSU9jT1ItTEtad3ZSU1VpdGc?oc=5,2026-09-08 06:30,航運 貨櫃 台股,negative,-0.3,medium,"2603,2609",航運SCFI連6漲但蘊含警訊，資金流動恐近末段
Google News,〈焦點股〉台塑化8月營收年增四寶居冠 股價強漲逾9％ - news.cnyes.com,https://news.google.com/rss/articles/CBMiT0FVX3lxTE9neGlIWmcxaVJpb3R2cTBmR2JVTTFGYk1uMUpzQmxLbTVBSHNNZGVmM1hHZWZfXzVQRFJZbXp3OVFzbXVuY2JRNkFTcE9oN2M?oc=5,2026-09-09 04:55,塑化 台股,positive,0.7,medium,6005,台塑化8月營收年增居四寶之冠，股價強漲逾9%
Google News,好戲僅半場！台股黑翻紅漲77點 台塑化、玉晶光收漲停 - Yahoo股市,https://news.google.com/rss/articles/CBMi3gJBVV95cUxQQzJ2SWhCcXZJMG1tanktTEpVbDd3Q2YzLTRKU0hQd3hrdjExZnc3ei1qRTc4SHg2ejVFUmVMZ0U1a0hQTDFKbHZwbHAyUGU3NjFhc3lfVXp4Zi1qLU1DdkNEUUV5UWdwSXFNQU95cElaTHBKRU5RNEhkLU9JcHVncFhJak56SkZROXFTdFAwWm5YWXBOa19hOEdFd3lXdUpOWFR3Z05wckpSRl9jSkdNZ3V6U2kzSXBBTGRBMkNYVTNwNmppZ2h0RVNoc0Z1dVBTcVVrN2cxdk1wNUZHbkhJbWg2U2t1Y0doLXNheHRqU1JTVTh2UUk5Q3lVNjhkdW1nckEtNjlmb0VmNFNybXZfc2VlYVhFd3Y2aXMtMnZVM1ZsQnNIeUl2cEZBd040dDZDdy1EWUZjb0hQQjJXQkkwWjBrclRTUy1QZE1CNXlDWVNGMU9VekZGY3AzczltQQ?oc=5,2026-09-09 06:09,塑化 台股,positive,0.65,medium,"6005,3406",台股黑翻紅，台塑化與玉晶光收漲停
Google News,台塑化 押逾150天 - 經濟日報,https://news.google.com/rss/articles/CBMiWkFVX3lxTE9RcDBIYkJicDFkWk9ZVnRvcVpEdWZqVHZOT0pDTFdYSDRtNm52dDBZbUVRRlRkOVN0M3RkWjNqNHRfeEtvZVhSQ0xCcFV0WnpvR05CaGh0LXdVUdIBX0FVX3lxTE5BbVdBSUs4UE9CWVZzVzJpZ2xtS0NDVEF1Y0ZuT3FTV29HaHVIU2VNWWRtNUhjbjJrcThiNzBCLTA3X0syOXNYS2lSTEJyM2N0VXROWXRrNmI5QmFtUXdF?oc=5,2026-09-09 17:42,塑化 台股,neutral,0.1,medium,6505,技術面訊號，股價波動狀況說明
Google News,焦點股》台塑化:油價走揚助攻 8月營收大漲股價帶頭猛攻 - 自由財經,https://news.google.com/rss/articles/CBMiX0FVX3lxTE9BVmxrUVZTY21QRzZqZGJTbktuV2lsb3dBTGNyZlIwU1JEMUZKbDNZZzd6eVE0ZWQxaXNEVjNFLUFIZE04R1VRXzZEcUxleUhsY0xfVGpKY3owU1l6WWZV0gFkQVVfeXFMTW45cEo3N0c3aWVvS1lZaFh2eU9QdXJDUUJyYXhxSkhBc2NRZDdQZ204anpmWTRCQktMOE1fTE0tdjNUY2ZoSmlWZ2RnaFJ6VlFneE5VUXRHcmJNRXhsN3NFQ01ibg?oc=5,2026-09-09 01:41,塑化 台股,positive,0.8,high,6505,油價走揚帶動營收大漲，股價領頭猛攻
Google News,熱門股－台塑化 KD值強勢攀揚 - chinatimes.com,https://news.google.com/rss/articles/CBMia0FVX3lxTE82cW9OM2VxclFORjZUVFl0bkxpbG9VZTZSdlcwYUtNdklrandMc2NvLWNpVFlwZDZUUDRxNHFUUjRJVXFGUVdQUTlzQlowQ1JHRVRzT1lsUk9meVVLRER5LVB3NlJTaUhMLWdB?oc=5,2026-09-09 20:10,塑化 台股,neutral,0.15,low,6505,技術指標強勢，中性訊號
Google News,熱門股／台塑四寶齊揚！台塑化8月營收年月雙增 帶量大漲逾9% - 非凡新聞台,https://news.google.com/rss/articles/CBMiX0FVX3lxTE9JZFhnOVluNjJ3OTR0b1RKREs5MXR0UWZJT3dTR1psc0U3LTVNOWRScEttUS1xU08yekkzWHZkRW91cGFDMjRxSURodEd5N0YzZ3BCQUxxNFFjcG05OGRF?oc=5,2026-09-09 13:06,塑化 台股,positive,0.85,high,"6505,1301,1303,1326",台塑四寶8月營收年月雙增，股價帶量大漲逾9%
Google News,台塑化狂飆衝漲停！葉育碩揭「暴賺真相」：這主菜比中東開火猛 - setn.com,https://news.google.com/rss/articles/CBMiTEFVX3lxTE5qbGM5VEJ4ZG9pZ3pjNGJ5S1FSSkFYb0ljWlNSZGE5RGFzWjdNaENOZWhuLWZkeTNzLW53c2t2QmFRbDdNeGFlMWpmNjjSAUxBVV95cUxOamxjOVRCeGRvaWd6YzRieUtRUkpBWG9JY1pTUmRhOURhc1o3TWhDTmVobi1mZHkzcy1ud3NrdkJhUWw3TXhhZTFqZjY4?oc=5,2026-09-09 12:15,塑化 台股,positive,0.85,high,6505,衝漲停，獲利大幅成長超預期
Google News,法人買超近221億！台積電翻黑、台塑化漲停 台股震盪收紅77點 - 知新聞,https://news.google.com/rss/articles/CBMib0FVX3lxTE1yZ3VteldoQXJMbWdyOVp1dEVPUmFjY0FxRUFzek1BMHhSU0JwY2x6aHJnbjlkck0yUXoxN1NVb3hDZDlqVlFJeUlOYUxBRktxOVBTX1hIV0tJUXJ5OHBrUHoySmEwb3ZDT2V6S0x3RQ?oc=5,2026-09-09 01:06,塑化 台股,positive,0.75,high,"6505,2330",法人買超221億，台塑化漲停領軍，台股反彈
Google News,台塑四寶營收報喜　台塑化領軍挑戰漲停、集團股同步勁揚 - NOWnews今日新聞,https://news.google.com/rss/articles/CBMiTEFVX3lxTE41YWNBU3dmbW9HMjRPbFlINzNMZGg2OW1CSWIxMVFPRXM2TDE5RHpQU2szbmRMV29VZjNRU1FicDdlWnItRWU2SHQ2WHrSAVJBVV95cUxQZFpfSEJZOWNqcjBpdmVWS2l6NG5NSTdYRXpHWUllVEpUZDEyaHdfX3ZKSmRxbUxTYkVhMmwyTXlmbDBsN25SZnY1NW1DcmZJV2tR?oc=5,2026-09-09 05:09,塑化 台股,positive,0.8,high,"6505,1301,1303,1326",台塑四寶營收報喜，台塑化領軍挑戰漲停
Google News,台塑四寶8月成績出爐！「這檔」營收衝50個月新高Q4還有大戲 台塑化直逼漲停 - FTNN 新聞網,https://news.google.com/rss/articles/CBMiS0FVX3lxTE5QTTFTTEV2YklKbHQwbkMyakRJbmRRS1JfZmFCZ1ZSN2pmeDNnSFhnandQTENybUh0SjRfZW9jV2dGUFY1RHk1TGVtaw?oc=5,2026-09-09 05:05,塑化 台股,positive,0.85,high,"6505,1301,1303,1326",營收衝50個月新高，Q4業績預期樂觀
Google News,盤後快訊》欣興重返千元大關、台塑化攻漲停！台股萬紫千紅中「這類股」最吸金| 下班經濟學| 財經 - 風傳媒,https://news.google.com/rss/articles/CBMiTkFVX3lxTE4zeGxVV1hIOVYyb0d3d1ZxYnNNT3EwQ1Z6Tk1LUnVkRXZCd3hMclBvbTZiNV9PVFpwdGdwVTktTDROWnducHdUWW5HQVhHZw?oc=5,2026-09-09 05:55,塑化 台股,positive,0.75,high,"6505,3037",台塑化攻漲停，電子類股資金流入強勁
Google News,台塑化營收稱霸四寶！股價勁揚7%領軍台塑三寶齊漲 - Yahoo股市,https://news.google.com/rss/articles/CBMi5AJBVV95cUxONDMwUnBoLXVoeW9zMWxnMmhVdjhVenBTaENnbzJ0NVRJdUJOTEVfRTZ2Z0VyLVl5OXZuc0x2UmtjVnRJM0J6TDlNSWpxcEJwM19wcFFaOURZU3Y0VHVLeWs1WnVOTE1SWXFrazNPT0pMcmZZUU1yX0diWEJYM2daZzYyRHZjbE5aVERnTUc4NWVmdzdtSjJ2Vk1oNlJ4dDdpSXVHUVhoYTlfeG5ZTkZBcEQ5bG0wQlZvQmctT0dWMXItZERiMFNYYU80MlpFaGdJa0JJTURDV0RXRXhKOWVxVWdMY2YtNGVVaS16NmE1REVmV21WUzRqUHVRZXRKa3hIcTlJQW1WQUpVUXA2Wms5NlREUDk5OG9CRThlQmh1ODVWQmxzVVg5SXVPbUVCakprX2FNU2hWSC1qc05ORWtzVlRac3VQRml1SzIteGt1eHM3NFl1dUJtNW9mNUNnbXhIdnlhTg?oc=5,2026-09-09 02:00,塑化 台股,positive,0.8,high,"6505,1301,1303,1326",台塑化營收稱霸四寶，股價勁揚7%領軍
Google News,台塑化漲停理由不只美伊互轟，主菜是它、連外資都轉買1.3萬張！台塑台化南亞…老手更愛這檔「原因曝光」 - 今周刊,https://news.google.com/rss/articles/CBMigAFBVV95cUxQTVp6VTdHTmxXLUdwalF2UzRobF9MVnBoMlJZeDAyektWN04wNHVGbm8yZzczOTdPMHNYWVpERGktUV9oWVNjUXNNZVQ3bVVMWGUzSk9JYUlWRG95Y0ctMW9YWS01a0ZpcHZWbEc4YnhkYzZ5dFBSR3puS24wOGRBaw?oc=5,2026-09-09 09:06,塑化 台股,positive,0.85,high,"6505,1301,1303,1326",漲停且外資轉買1.3萬張，獲利強勁
Google News,「金九銀十」旺季來了！台塑四寶9月會更優？龍頭投顧曝看法台塑、南亞、台化...目標價1次看- 上市櫃 - 旺得富理財網,https://news.google.com/rss/articles/CBMiakFVX3lxTE9YbUlqNFBjbkdEb2dXWDFtUmRSSzNldklEVXhDTXhHMG8wWE5ZeWlTMzlZclQyeE53RHdnakNsT1YxeHFzbTB4SU5HcDNQLWRJX0VhbW5kOS05OVlrdlJzTUN2cDNwSFZQaWc?oc=5,2026-09-10 00:48,塑化 台股,positive,0.75,medium,"1301,1303,1326,6505",金九銀十旺季展望，投顧調升目標價看好
Google News,〈台塑四寶業績〉四寶8月營收年增40％ 南亞營收創50個月新高電子占比6成 - news.cnyes.com,https://news.google.com/rss/articles/CBMiT0FVX3lxTFB2MTRXdDROYUs3bUNsUjlXVFVZNkNRT3JyRElfZGlSQVRiT3pDUF9hc284cXJ1MVJyZ09sOENJQV8zMkhlWURBaUtMVzk2Q1E?oc=5,2026-09-08 11:51,塑化 台股,positive,0.8,high,"6505,1301,1303,1326",8月營收年增40%，南亞創50個月新高
